L M s l' alpha Re(C) Im(C) Im(A)
2 0 1 1 0.102 0 -4.24472623233599e-5 0.461927031899898
2 1 1 1 0.102 -0.00105038414614389 1.91772536321759e-5 0.461927031899898
2 -2 1 3 0.102 8.88105473980931e-5 -0.000311426623061972 0.461927031899898
2 -1 1 3 0.102 0.00129570440283476 0.000146572350998715 0.461927031899898
2 0 1 3 0.102 0 0.00157354311187615 0.461927031899898
2 1 1 3 0.102 0.00129570440283476 -0.000146572350998716 0.461927031899898
2 2 1 3 0.102 -8.88105473980931e-5 -0.000311426623061972 0.461927031899898
2 -2 1 1 0.102 -4.41427636960146e-5 0.000624814959034834 0.461927031899898
2 2 1 1 0.102 4.41427636960146e-5 0.000624814959034834 0.461927031899898
2 -2 0 2 0.247 0.000284197290873612 4.03581421164811e-5 1.11858800862034
2 -1 0 2 0.247 -5.03134976060068e-5 0.000712158082400141 1.11858800862034
2 0 0 2 0.247 -0.000490535877926695 0 1.11858800862034
2 1 0 2 0.247 5.03134976060068e-5 0.000712158082400141 1.11858800862034
2 2 0 2 0.247 0.000284197290873612 -4.03581421164811e-5 1.11858800862034
2 -2 1 1 0.247 -1.26591054180025e-6 -2.50535187609829e-5 1.11858800862034
2 -1 1 1 0.247 0.000218365650169146 9.47353758636069e-6 1.11858800862034
2 0 1 1 0.247 0 0.000361399767498434 1.11858800862034
2 1 1 1 0.247 0.000218365650169146 -9.47353758636069e-6 1.11858800862034
2 2 1 1 0.247 1.26591054180025e-6 -2.50535187609829e-5 1.11858800862034
2 -2 1 3 0.247 -3.69124972241154e-5 0.000225965552800001 1.11858800862034
2 -1 1 3 0.247 -0.000410652522731858 -3.49661803899175e-5 1.11858800862034
2 0 1 3 0.247 0 -7.18691784017975e-5 1.11858800862034
2 1 1 3 0.247 -0.000410652522731858 3.49661803899175e-5 1.11858800862034
2 2 1 3 0.247 3.69124972241154e-5 0.000225965552800001 1.11858800862034
2 0 2 0 0.247 4.54402737509453e-5 0 1.11858800862034
2 -2 2 2 0.247 1.13920675743394e-5 -3.99329845707280e-7 1.11858800862034
2 -1 2 2 0.247 -2.98841519818899e-6 3.41033724322269e-5 1.11858800862034
2 0 2 2 0.247 -4.90884131852820e-5 0 1.11858800862034
2 1 2 2 0.247 2.98841519818899e-6 3.41033724322269e-5 1.11858800862034
2 2 2 2 0.247 1.13920675743394e-5 3.99329845707279e-7 1.11858800862034
2 -2 2 4 0.247 -4.64787590125435e-5 -8.27059866199961e-6 1.11858800862034
2 -1 2 4 0.247 6.82450095641845e-6 -8.04468538768776e-5 1.11858800862034
2 0 2 4 0.247 1.14320370861482e-6 0 1.11858800862034
2 1 2 4 0.247 -6.82450095641845e-6 -8.04468538768776e-5 1.11858800862034
2 2 2 4 0.247 -4.64787590125435e-5 8.27059866199961e-6 1.11858800862034
2 -1 2 0 0.247 0 -2.43458529526221e-5 1.11858800862034
2 1 2 0 0.247 0 -2.43458529526221e-5 1.11858800862034
2 -2 2 0 0.247 2.44227720341896e-6 0 1.11858800862034
2 2 2 0 0.247 2.44227720341896e-6 0 1.11858800862034
2 -2 0 2 33.87 0 0 162.200870695300
2 -1 0 2 33.87 0 0 162.200870695300
2 0 0 2 33.87 0 0 162.200870695300
2 1 0 2 33.87 0 0 162.200870695300
2 2 0 2 33.87 0 0 162.200870695300
2 -2 0 2 5.095 -3.12975036693965e-14 3.88969783188039e-15 24.3995700086375
2 -1 0 2 5.095 4.24883527811368e-15 6.86374447335300e-14 24.3995700086375
2 0 0 2 5.095 3.54657398729044e-14 0 24.3995700086375
2 1 0 2 5.095 -4.24883527811368e-15 6.86374447335300e-14 24.3995700086375
2 2 0 2 5.095 -3.12975036693965e-14 -3.88969783188039e-15 24.3995700086375
2 -2 0 2 1.159 -0.000291618828152551 3.62427986456196e-5 5.55036342296582
2 -1 0 2 1.159 3.95891115759591e-5 0.000639538904189014 5.55036342296582
2 0 0 2 1.159 0.000330456946680151 0 5.55036342296582
2 1 0 2 1.159 -3.95891115759591e-5 0.000639538904189014 5.55036342296582
2 2 0 2 1.159 -0.000291618828152551 -3.62427986456196e-5 5.55036342296582
2 -2 0 2 0.3258 -0.0229259730048787 0.00284927221138159 1.56023158171032
2 -1 0 2 0.3258 0.00311234671995451 0.0502781378894269 1.56023158171032
2 0 0 2 0.3258 0.0259792794822583 0 1.56023158171032
2 1 0 2 0.3258 -0.00311234671995451 0.0502781378894269 1.56023158171032
2 2 0 2 0.3258 -0.0229259730048787 -0.00284927221138160 1.56023158171032
2 -2 0 2 0.1027 -0.0186754103196357 0.00232100629485010 0.491822539722683
2 -1 0 2 0.1027 0.00253530578788319 0.0409563796918218 0.491822539722683
2 0 0 2 0.1027 0.0211626221507118 0 0.491822539722683
2 1 0 2 0.1027 -0.00253530578788319 0.0409563796918218 0.491822539722683
2 2 0 2 0.1027 -0.0186754103196357 -0.00232100629485010 0.491822539722683
2 -2 0 2 1.407 -4.84436905653645e-5 6.02065008605257e-6 6.73801668344514
2 -1 0 2 1.407 6.57653925534670e-6 0.000106240138798027 6.73801668344514
2 0 0 2 1.407 5.48954749306311e-5 0 6.73801668344514
2 1 0 2 1.407 -6.57653925534670e-6 0.000106240138798027 6.73801668344514
2 2 0 2 1.407 -4.84436905653645e-5 -6.02065008605257e-6 6.73801668344514
2 -1 1 1 1.407 1.75810596602431e-5 -6.13585975276088e-7 6.73801668344514
2 0 1 1 1.407 0 -1.19485394326876e-5 6.73801668344514
2 1 1 1 1.407 1.75810596602431e-5 6.13585975276088e-7 6.73801668344514
2 -2 1 3 1.407 -2.07980571948744e-6 -1.32108411772822e-5 6.73801668344514
2 -1 1 3 1.407 -2.67880424988791e-5 2.13297615628030e-6 6.73801668344514
2 0 1 3 1.407 0 1.09774748103957e-5 6.73801668344514
2 1 1 3 1.407 -2.67880424988791e-5 -2.13297615628030e-6 6.73801668344514
2 2 1 3 1.407 2.07980571948744e-6 -1.32108411772822e-5 6.73801668344514
2 -2 1 1 1.407 4.34600245665123e-7 7.02071235773154e-6 6.73801668344514
2 2 1 1 1.407 -4.34600245665123e-7 7.02071235773154e-6 6.73801668344514
2 -2 0 2 0.388 -0.00352527626830423 0.000438126299223363 1.85810268171764
2 -1 0 2 0.388 0.000478578685766370 0.00773115829275408 1.85810268171764
2 0 0 2 0.388 0.00399477646627948 0 1.85810268171764
2 1 0 2 0.388 -0.000478578685766371 0.00773115829275408 1.85810268171764
2 2 0 2 0.388 -0.00352527626830423 -0.000438126299223363 1.85810268171764
2 -1 1 1 0.388 0.00123446426361933 -5.90447306837767e-5 1.85810268171764
2 0 1 1 0.388 0 -0.00149165034592396 1.85810268171764
2 1 1 1 0.388 0.00123446426361933 5.90447306837767e-5 1.85810268171764
2 -2 1 3 0.388 -0.000167071393971850 -0.00121535165341106 1.85810268171764
2 -1 1 3 0.388 -0.00199430177509675 0.000140824234475566 1.85810268171764
2 0 1 3 0.388 0 0.000176689390267196 1.85810268171764
2 1 1 3 0.388 -0.00199430177509675 -0.000140824234475566 1.85810268171764
2 2 1 3 0.388 0.000167071393971850 -0.00121535165341106 1.85810268171764
2 -2 1 1 0.388 1.59034284330380e-5 0.000256910569296278 1.85810268171764
2 2 1 1 0.388 -1.59034284330380e-5 0.000256910569296278 1.85810268171764
2 -2 0 2 1.057 -0.000336039003013066 4.17634005336111e-5 5.06189313034933
2 -1 0 2 1.057 4.56194329715880e-5 0.000736955213465578 5.06189313034933
2 0 0 2 1.057 0.000380793049627953 0 5.06189313034933
2 1 0 2 1.057 -4.56194329715880e-5 0.000736955213465578 5.06189313034933
2 2 0 2 1.057 -0.000336039003013066 -4.17634005336111e-5 5.06189313034933
2 -2 1 1 1.057 3.80543260661517e-6 0.000117578113315498 5.06189313034933
2 -1 1 1 1.057 0.000247635452928406 -3.61421543398080e-6 5.06189313034933
2 0 1 1 1.057 0 -0.000117392375421778 5.06189313034933
2 1 1 1 1.057 0.000247635452928406 3.61421543398080e-6 5.06189313034933
2 2 1 1 1.057 -3.80543260661517e-6 0.000117578113315498 5.06189313034933
2 -2 1 3 1.057 -3.10778912623583e-5 -0.000163102033055193 5.06189313034933
2 -1 1 3 1.057 -0.000367914216394114 3.44899004841210e-5 5.06189313034933
2 0 1 3 1.057 0 0.000200669063721225 5.06189313034933
2 1 1 3 1.057 -0.000367914216394114 -3.44899004841210e-5 5.06189313034933
2 2 1 3 1.057 3.10778912623583e-5 -0.000163102033055193 5.06189313034933
2 0 2 0 1.057 -1.17828247141450e-5 0 5.06189313034933
2 -2 2 2 1.057 -1.75268527599857e-5 1.13518857234197e-6 5.06189313034933
2 -1 2 2 1.057 1.07814708149209e-6 3.67000455300124e-5 5.06189313034933
2 0 2 2 1.057 1.81864034109566e-5 0 5.06189313034933
2 1 2 2 1.057 -1.07814708149209e-6 3.67000455300124e-5 5.06189313034933
2 2 2 2 1.057 -1.75268527599857e-5 -1.13518857234198e-6 5.06189313034933
2 -2 2 4 1.057 2.88001205301134e-5 -6.14897811787031e-6 5.06189313034933
2 -1 2 4 1.057 -6.87856980056781e-6 -6.58160505652602e-5 5.06189313034933
2 0 2 4 1.057 -3.64468206765752e-5 0 5.06189313034933
2 1 2 4 1.057 6.87856980056781e-6 -6.58160505652602e-5 5.06189313034933
2 2 2 4 1.057 2.88001205301134e-5 6.14897811787031e-6 5.06189313034933
2 -1 2 0 1.057 0 -2.60200036838631e-5 5.06189313034933
2 1 2 0 1.057 0 -2.60200036838631e-5 5.06189313034933
2 -2 2 0 1.057 1.22832950569423e-5 0 5.06189313034933
2 2 2 0 1.057 1.22832950569423e-5 0 5.06189313034933
2 -2 0 2 0.02526 -0.00101251884279549 0.000125837267699108 0.120968231289143
2 -1 0 2 0.02526 0.000137455875857312 0.00222051914581254 0.120968231289143
2 0 0 2 0.02526 0.00114736722373525 0 0.120968231289143
2 1 0 2 0.02526 -0.000137455875857312 0.00222051914581254 0.120968231289143
2 2 0 2 0.02526 -0.00101251884279549 -0.000125837267699108 0.120968231289143
2 -2 0 2 0.102 0.00255320814463079 -0.000317316303862941 0.488470292616492
2 -1 0 2 0.102 -0.000346614252429407 -0.00559935018369067 0.488470292616492
2 0 0 2 0.102 -0.00289324723324180 0 0.488470292616492
2 1 0 2 0.102 0.000346614252429407 -0.00559935018369067 0.488470292616492
2 2 0 2 0.102 0.00255320814463079 0.000317316303862941 0.488470292616492
2 -1 1 1 0.102 -0.000973837334824855 1.72037590638095e-5 0.488470292616492
2 0 1 1 0.102 0 -2.44488536570267e-5 0.488470292616492
2 1 1 1 0.102 -0.000973837334824855 -1.72037590638095e-5 0.488470292616492
2 -2 1 3 0.102 9.30829409369276e-5 0.000429199881038844 0.488470292616492
2 -1 1 3 0.102 0.00136462102126951 -0.000127552858819429 0.488470292616492
2 0 1 3 0.102 0 -0.00123275659417447 0.488470292616492
2 1 1 3 0.102 0.00136462102126951 0.000127552858819429 0.488470292616492
2 2 1 3 0.102 -9.30829409369276e-5 0.000429199881038844 0.488470292616492
2 -2 1 1 0.102 -3.94379655880121e-5 -0.000637097229302758 0.488470292616492
2 2 1 1 0.102 3.94379655880121e-5 -0.000637097229302758 0.488470292616492
2 -2 0 2 0.247 -0.000290234312474765 3.60707290873898e-5 1.18286433604190
2 -1 0 2 0.247 3.94011547626293e-5 0.000636502571984358 1.18286433604190
2 0 0 2 0.247 0.000328888039670921 0 1.18286433604190
2 1 0 2 0.247 -3.94011547626293e-5 0.000636502571984358 1.18286433604190
2 2 0 2 0.247 -0.000290234312474765 -3.60707290873898e-5 1.18286433604190
2 -2 1 1 0.247 -1.82959949906578e-6 1.56689886622515e-5 1.18286433604190
2 -1 1 1 0.247 0.000198682884113008 -8.20479010067317e-6 1.18286433604190
2 0 1 1 0.247 0 -0.000311698349364305 1.18286433604190
2 1 1 1 0.247 0.000198682884113008 8.20479010067317e-6 1.18286433604190
2 2 1 1 0.247 1.82959949906578e-6 1.56689886622515e-5 1.18286433604190
2 -2 1 3 0.247 -3.19580590801473e-5 -0.000226752303440101 1.18286433604190
2 -1 1 3 0.247 -0.000332962649494720 2.47054428984380e-5 1.18286433604190
2 0 1 3 0.247 0 -3.69911210762416e-5 1.18286433604190
2 1 1 3 0.247 -0.000332962649494720 -2.47054428984380e-5 1.18286433604190
2 2 1 3 0.247 3.19580590801473e-5 -0.000226752303440101 1.18286433604190
2 0 2 0 0.247 -3.89571628701598e-5 0 1.18286433604190
2 -2 2 2 0.247 -7.70993629546995e-6 -5.45783004983884e-7 1.18286433604190
2 -1 2 2 0.247 2.44754931267415e-6 2.94911550003053e-5 1.18286433604190
2 0 2 2 0.247 3.73288233590696e-5 0 1.18286433604190
2 1 2 2 0.247 -2.44754931267415e-6 2.94911550003053e-5 1.18286433604190
2 2 2 2 0.247 -7.70993629546995e-6 5.45783004983884e-7 1.18286433604190
2 -2 2 4 0.247 4.50363365631967e-5 -6.83706197060784e-6 1.18286433604190
2 -1 2 4 0.247 -4.42460610117590e-6 -6.06803008549665e-5 1.18286433604190
2 0 2 4 0.247 1.89229536990573e-5 0 1.18286433604190
2 1 2 4 0.247 4.42460610117590e-6 -6.06803008549665e-5 1.18286433604190
2 2 2 4 0.247 4.50363365631967e-5 6.83706197060784e-6 1.18286433604190
2 -1 2 0 0.247 0 -2.08441887963544e-5 1.18286433604190
2 1 2 0 0.247 0 -2.08441887963544e-5 1.18286433604190
2 -2 2 0 0.247 -2.12503310631671e-6 0 1.18286433604190
2 2 2 0 0.247 -2.12503310631671e-6 0 1.18286433604190
3 -3 0 3 11420.0 0 0 12976.3861877818
3 -2 0 3 11420.0 0 0 12976.3861877818
3 -1 0 3 11420.0 0 0 12976.3861877818
3 0 0 3 11420.0 0 0 12976.3861877818
3 1 0 3 11420.0 0 0 12976.3861877818
3 2 0 3 11420.0 0 0 12976.3861877818
3 3 0 3 11420.0 0 0 12976.3861877818
3 -3 0 3 1712.0 0 0 1945.32164216133
3 -2 0 3 1712.0 0 0 1945.32164216133
3 -1 0 3 1712.0 0 0 1945.32164216133
3 0 0 3 1712.0 0 0 1945.32164216133
3 1 0 3 1712.0 0 0 1945.32164216133
3 2 0 3 1712.0 0 0 1945.32164216133
3 3 0 3 1712.0 0 0 1945.32164216133
3 -3 0 3 389.3 0 0 442.356142110634
3 -2 0 3 389.3 0 0 442.356142110634
3 -1 0 3 389.3 0 0 442.356142110634
3 0 0 3 389.3 0 0 442.356142110634
3 1 0 3 389.3 0 0 442.356142110634
3 2 0 3 389.3 0 0 442.356142110634
3 3 0 3 389.3 0 0 442.356142110634
3 -3 0 3 110.0 0 0 124.991460652889
3 -2 0 3 110.0 0 0 124.991460652889
3 -1 0 3 110.0 0 0 124.991460652889
3 0 0 3 110.0 0 0 124.991460652889
3 1 0 3 110.0 0 0 124.991460652889
3 2 0 3 110.0 0 0 124.991460652889
3 3 0 3 110.0 0 0 124.991460652889
3 -3 0 3 35.57 -8.53220184276916e-13 -8.53220184276915e-13 40.4176932311206
3 -2 0 3 35.57 -1.15001890505050e-11 0 40.4176932311206
3 -1 0 3 35.57 -3.93615059477911e-11 3.93615059477911e-11 40.4176932311206
3 0 0 3 35.57 0 1.14550549484487e-10 40.4176932311206
3 1 0 3 35.57 -3.93615059477911e-11 -3.93615059477911e-11 40.4176932311206
3 2 0 3 35.57 1.15001890505050e-11 0 40.4176932311206
3 3 0 3 35.57 -8.53220184276916e-13 8.53220184276915e-13 40.4176932311206
3 -3 0 3 12.54 -1.02017804396804e-9 -1.02017804396804e-9 14.2490265144294
3 -2 0 3 12.54 -1.37505424590367e-8 0 14.2490265144294
3 -1 0 3 12.54 -4.70637531617761e-8 4.70637531617761e-8 14.2490265144294
3 0 0 3 12.54 0 1.36965765299594e-7 14.2490265144294
3 1 0 3 12.54 -4.70637531617761e-8 -4.70637531617761e-8 14.2490265144294
3 2 0 3 12.54 1.37505424590367e-8 0 14.2490265144294
3 3 0 3 12.54 -1.02017804396804e-9 1.02017804396804e-9 14.2490265144294
3 -3 0 3 4.644 -1.64842031305139e-9 -1.64842031305139e-9 5.27691221156379
3 -2 0 3 4.644 -2.22183506486656e-8 0 5.27691221156379
3 -1 0 3 4.644 -7.60463795305310e-8 7.60463795305310e-8 5.27691221156379
3 0 0 3 4.644 0 2.21311516207805e-7 5.27691221156379
3 1 0 3 4.644 -7.60463795305310e-8 -7.60463795305310e-8 5.27691221156379
3 2 0 3 4.644 2.22183506486656e-8 0 5.27691221156379
3 3 0 3 4.644 -1.64842031305139e-9 1.64842031305139e-9 5.27691221156379
3 -3 0 3 0.5118 -2.14953111604162e-8 -2.14953111604162e-8 0.581551177837715
3 -2 0 3 0.5118 -2.89726083137277e-7 0 0.581551177837715
3 -1 0 3 0.5118 -9.91640649954132e-7 9.91640649954132e-7 0.581551177837715
3 0 0 3 0.5118 0 2.88589012559806e-6 0.581551177837715
3 1 0 3 0.5118 -9.91640649954132e-7 -9.91640649954132e-7 0.581551177837715
3 2 0 3 0.5118 2.89726083137277e-7 0 0.581551177837715
3 3 0 3 0.5118 -2.14953111604162e-8 2.14953111604162e-8 0.581551177837715
3 -3 0 3 1.293 9.76579950603900e-8 9.76579950603900e-8 1.46921780567442
3 -2 0 3 1.293 1.31629024510192e-6 0 1.46921780567442
3 -1 0 3 1.293 4.50524474720036e-6 -4.50524474720036e-6 1.46921780567442
3 0 0 3 1.293 0 -1.31112427974281e-5 1.46921780567442
3 1 0 3 1.293 4.50524474720036e-6 4.50524474720036e-6 1.46921780567442
3 2 0 3 1.293 -1.31629024510192e-6 0 1.46921780567442
3 3 0 3 1.293 9.76579950603900e-8 -9.76579950603900e-8 1.46921780567442
3 -3 0 3 0.1787 -3.02381043615143e-6 -3.02381043615143e-6 0.203054309260648
3 -2 0 3 0.1787 -4.07566444271380e-5 0 0.203054309260648
3 -1 0 3 0.1787 -0.000139497089568311 0.000139497089568311 0.203054309260648
3 0 0 3 0.1787 0 0.000405966892697952 0.203054309260648
3 1 0 3 0.1787 -0.000139497089568311 -0.000139497089568311 0.203054309260648
3 2 0 3 0.1787 4.07566444271380e-5 0 0.203054309260648
3 3 0 3 0.1787 -3.02381043615143e-6 3.02381043615143e-6 0.203054309260648
3 -3 0 3 26.63 9.33546274730878e-7 9.33546274730878e-7 30.2592963380585
3 -2 0 3 26.63 1.25828699843737e-5 0 30.2592963380585
3 -1 0 3 26.63 4.30671799876593e-5 -4.30671799876593e-5 30.2592963380585
3 0 0 3 26.63 0 -0.000125334867494076 30.2592963380585
3 1 0 3 26.63 4.30671799876593e-5 4.30671799876593e-5 30.2592963380585
3 2 0 3 26.63 -1.25828699843737e-5 0 30.2592963380585
3 3 0 3 26.63 9.33546274730878e-7 -9.33546274730878e-7 30.2592963380585
3 -2 1 2 26.63 0.000102131076309039 -0.000102130932028787 30.2592963380585
3 -1 1 2 26.63 5.87034973367017e-6 -0.000343691987888598 30.2592963380585
3 0 1 2 26.63 0.000111883616155791 0 30.2592963380585
3 1 1 2 26.63 -5.87034973367017e-6 -0.000343691987888598 30.2592963380585
3 2 1 2 26.63 0.000102131076309039 0.000102130932028787 30.2592963380585
3 -3 1 4 26.63 2.10887236764040e-5 1.64315369520442e-6 30.2592963380585
3 -2 1 4 26.63 0.000102131076309039 -7.99835678640477e-5 30.2592963380585
3 -1 1 4 26.63 8.16737650053520e-5 -0.000267888572616916 30.2592963380585
3 0 1 4 26.63 0.000332488053488281 0 30.2592963380585
3 1 1 4 26.63 -8.16737650053520e-5 -0.000267888572616916 30.2592963380585
3 2 1 4 26.63 0.000102131076309039 7.99835678640477e-5 30.2592963380585
3 3 1 4 26.63 -2.10887236764040e-5 1.64315369520442e-6 30.2592963380585
3 -3 1 2 26.63 2.27318773716084e-5 0 30.2592963380585
3 3 1 2 26.63 -2.27318773716084e-5 0 30.2592963380585
3 -3 0 3 5.948 0.000711084537276329 0.000711084537276329 6.75862916330350
3 -2 0 3 5.948 0.00958440360444471 -1.115e-18 6.75862916330350
3 -1 0 3 5.948 0.0328043789389545 -0.0328043789389545 6.75862916330350
3 0 0 3 5.948 0 -0.0954678827059830 6.75862916330350
3 1 0 3 5.948 0.0328043789389545 0.0328043789389545 6.75862916330350
3 2 0 3 5.948 -0.00958440360444471 -1.115e-18 6.75862916330350
3 3 0 3 5.948 0.000711084537276329 -0.000711084537276329 6.75862916330350
3 -2 1 2 5.948 0.0777934968030183 -0.0777933869043888 6.75862916330350
3 -1 1 2 5.948 0.00447146010541410 -0.261791048594564 6.75862916330350
3 0 1 2 5.948 0.0852220308477775 8.980e-18 6.75862916330350
3 1 1 2 5.948 -0.00447146010541410 -0.261791048594564 6.75862916330350
3 2 1 2 5.948 0.0777934968030183 0.0777933869043889 6.75862916330350
3 -3 1 4 5.948 0.0160633336804938 0.00125159428799087 6.75862916330350
3 -2 1 4 5.948 0.0777934968030183 -0.0609236841105837 6.75862916330350
3 -1 1 4 5.948 0.0622111115093772 -0.204051397190601 6.75862916330350
3 0 1 4 5.948 0.253256983680620 0 6.75862916330350
3 1 1 4 5.948 -0.0622111115093771 -0.204051397190601 6.75862916330350
3 2 1 4 5.948 0.0777934968030183 0.0609236841105837 6.75862916330350
3 3 1 4 5.948 -0.0160633336804938 0.00125159428799087 6.75862916330350
3 -3 1 2 5.948 0.0173149279684847 -1.06023355570359e-18 6.75862916330350
3 3 1 2 5.948 -0.0173149279684847 -1.06023355570359e-18 6.75862916330350
3 -3 0 3 1.742 0.00193830184498910 0.00193830184498910 1.97941022233939
3 -2 0 3 1.742 0.0261255395325748 -3.038e-18 1.97941022233939
3 -1 0 3 1.742 0.0894194499920450 -0.0894194499920450 1.97941022233939
3 0 0 3 1.742 0 -0.260230061948740 1.97941022233939
3 1 0 3 1.742 0.0894194499920450 0.0894194499920450 1.97941022233939
3 2 0 3 1.742 -0.0261255395325748 -3.038e-18 1.97941022233939
3 3 0 3 1.742 0.00193830184498910 -0.00193830184498910 1.97941022233939
3 -2 1 2 1.742 0.212052534511586 -0.212052234945635 1.97941022233939
3 -1 1 2 1.742 0.0121884795938845 -0.713600206293456 1.97941022233939
3 0 1 2 1.742 0.232301521080290 2.448e-17 1.97941022233939
3 1 1 2 1.742 -0.0121884795938845 -0.713600206293456 1.97941022233939
3 2 1 2 1.742 0.212052534511586 0.212052234945635 1.97941022233939
3 -3 1 4 1.742 0.0437860587277508 0.00341164431290087 1.97941022233939
3 -2 1 4 1.742 0.212052534511587 -0.166068143975388 1.97941022233939
3 -1 1 4 1.742 0.169577463573209 -0.556211222314132 1.97941022233939
3 0 1 4 1.742 0.690337720750859 0 1.97941022233939
3 1 1 4 1.742 -0.169577463573209 -0.556211222314132 1.97941022233939
3 2 1 4 1.742 0.212052534511587 0.166068143975388 1.97941022233939
3 3 1 4 1.742 -0.0437860587277508 0.00341164431290087 1.97941022233939
3 -3 1 2 1.742 0.0471977030406516 -2.89002579779207e-18 1.97941022233939
3 3 1 2 1.742 -0.0471977030406516 -2.89002579779207e-18 1.97941022233939
3 -3 0 3 0.555 0.000906161628285573 0.000906161628285573 0.630638733294123
3 -2 0 3 0.555 0.0122137640759508 -1.420e-18 0.630638733294123
3 -1 0 3 0.555 0.0418038473288702 -0.0418038473288702 0.630638733294123
3 0 0 3 0.555 0 -0.121658294488004 0.630638733294123
3 1 0 3 0.555 0.0418038473288702 0.0418038473288702 0.630638733294123
3 2 0 3 0.555 -0.0122137640759508 -1.420e-18 0.630638733294123
3 3 0 3 0.555 0.000906161628285573 -0.000906161628285573 0.630638733294123
3 -2 1 2 0.555 0.0990818036075752 -0.0990834258479700 0.630638733294123
3 -1 1 2 0.555 0.00568281631571539 -0.333442826305454 0.630638733294123
3 0 1 2 0.555 0.108486647387141 1.144e-17 0.630638733294123
3 1 1 2 0.555 -0.00568281631571540 -0.333442826305454 0.630638733294123
3 2 1 2 0.555 0.0990818036075752 0.0990834258479700 0.630638733294123
3 -3 1 4 0.555 0.0204582304911628 0.00159495342466996 0.630638733294123
3 -2 1 4 0.555 0.0990818036075752 -0.0775857324641695 0.630638733294123
3 -1 1 4 0.555 0.0792626142020030 -0.259863028419167 0.630638733294123
3 0 1 4 0.555 0.322619874149638 0 0.630638733294123
3 1 1 4 0.555 -0.0792626142020029 -0.259863028419167 0.630638733294123
3 2 1 4 0.555 0.0990818036075752 0.0775857324641695 0.630638733294123
3 3 1 4 0.555 -0.0204582304911628 0.00159495342466996 0.630638733294123
3 -3 1 2 0.555 0.0220531839158328 -1.35036805467663e-18 0.630638733294123
3 3 1 2 0.555 -0.0220531839158328 -1.35036805467663e-18 0.630638733294123
3 -3 0 3 0.1725 0.000130362320188672 0.000130362320188672 0.196009336023849
3 -2 0 3 0.1725 0.00175709782171026 -2.039e-19 0.196009336023849
3 -1 0 3 0.1725 0.00601398951411692 -0.00601398951411692 0.196009336023849
3 0 0 3 0.1725 0 -0.0175020184529982 0.196009336023849
3 1 0 3 0.1725 0.00601398951411692 0.00601398951411692 0.196009336023849
3 2 0 3 0.1725 -0.00175709782171026 -2.039e-19 0.196009336023849
3 3 0 3 0.1725 0.000130362320188672 -0.000130362320188672 0.196009336023849
3 -2 1 2 0.1725 0.0142028883975549 -0.0142048136794121 0.196009336023849
3 -1 1 2 0.1725 0.000802821723938509 -0.0478091683643135 0.196009336023849
3 0 1 2 0.1725 0.0154967348583581 1.639e-18 0.196009336023849
3 1 1 2 0.1725 -0.000802821723938509 -0.0478091683643135 0.196009336023849
3 2 1 2 0.1725 0.0142028883975550 0.0142048136794121 0.196009336023849
3 -3 1 4 0.1725 0.00293176190559875 0.000229453358587061 0.196009336023849
3 -2 1 4 0.1725 0.0142028883975550 -0.0111121102358564 0.196009336023849
3 -1 1 4 0.1725 0.0113881664042444 -0.0372238236840076 0.196009336023849
3 0 1 4 0.1725 0.0463023918172169 0 0.196009336023849
3 1 1 4 0.1725 -0.0113881664042444 -0.0372238236840076 0.196009336023849
3 2 1 4 0.1725 0.0142028883975550 0.0111121102358564 0.196009336023849
3 3 1 4 0.1725 -0.00293176190559875 0.000229453358587061 0.196009336023849
3 -3 1 2 0.1725 0.00316121526418581 -1.93568607735045e-19 0.196009336023849
3 3 1 2 0.1725 -0.00316121526418581 -1.93568607735045e-19 0.196009336023849
3 -3 0 3 1.654 -0.000172107197696949 -0.000172107197696949 1.87941705381708
3 -2 0 3 1.654 -0.00231975912776247 2.491e-19 1.87941705381708
3 -1 0 3 1.654 -0.00793980101578030 0.00793980101578031 1.87941705381708
3 0 0 3 1.654 2.435e-18 0.0231065490827889 1.87941705381708
3 1 0 3 1.654 -0.00793980101578031 -0.00793980101578031 1.87941705381708
3 2 0 3 1.654 0.00231975912776247 -2.491e-19 1.87941705381708
3 3 0 3 1.654 -0.000172107197696949 0.000172107197696949 1.87941705381708
3 -3 1 2 1.654 -0.00419027618352901 2.16076337150024e-8 1.87941705381708
3 -2 1 2 1.654 -0.0188262149601232 0.0194482812116635 1.87941705381708
3 -1 1 2 1.654 0.00324682100897988 0.0676829940903907 1.87941705381708
3 0 1 2 1.654 -0.000677900391340649 -2.173e-18 1.87941705381708
3 1 1 2 1.654 -0.00324682100897989 0.0676829940903907 1.87941705381708
3 2 1 2 1.654 -0.0188262149601232 -0.0194482812116635 1.87941705381708
3 -3 1 4 1.654 -0.00358441745853213 -0.000605837117363168 1.87941705381708
3 -2 1 4 1.654 -0.0188262149601232 0.0112821712159573 1.87941705381708
3 -1 1 4 1.654 -0.0247031879651938 0.0397329851162170 1.87941705381708
3 0 1 4 1.654 -0.0820185099283500 0 1.87941705381708
3 1 1 4 1.654 0.0247031879651938 0.0397329851162170 1.87941705381708
3 2 1 4 1.654 -0.0188262149601232 -0.0112821712159573 1.87941705381708
3 3 1 4 1.654 0.00358441745853213 -0.000605837117363168 1.87941705381708
