L M s l' alpha Re(C) Im(C) Im(A)
1 0 0 1 0.5118 0 -2.23554746741875e-6 0.581551177837715
1 1 0 1 0.5118 2.87276872516311e-7 2.87276872516311e-7 0.581551177837715
1 -1 0 1 1.293 -1.30516293473460e-6 1.30516293473460e-6 1.46921780567442
1 0 0 1 1.293 0 1.01565909840134e-5 1.46921780567442
1 1 0 1 1.293 -1.30516293473460e-6 -1.30516293473460e-6 1.46921780567442
1 -1 0 1 0.1787 4.04121065611476e-5 -4.04121065611476e-5 0.203054309260648
1 0 0 1 0.1787 0 -0.000314481223930410 0.203054309260648
1 1 0 1 0.1787 4.04121065611476e-5 4.04121065611476e-5 0.203054309260648
1 -1 0 1 26.63 -1.24765002075339e-5 1.24765002075339e-5 30.2592963380585
1 0 0 1 26.63 0 9.70903372655531e-5 30.2592963380585
1 1 0 1 26.63 -1.24765002075339e-5 -1.24765002075339e-5 30.2592963380585
1 0 1 0 26.63 -2.59764606637322e-9 0 30.2592963380585
1 -1 1 2 26.63 -2.19601405673630e-5 0.000214331176501922 30.2592963380585
1 0 1 2 26.63 -0.000170893265591293 -1.801e-20 30.2592963380585
1 1 1 2 26.63 2.19601405673630e-5 0.000214331176501922 30.2592963380585
1 -1 1 0 26.63 0 0.000236291317069285 30.2592963380585
1 1 1 0 26.63 0 0.000236291317069285 30.2592963380585
1 -1 0 1 5.948 -0.00950338147882369 0.00950338147882369 6.75862916330350
1 0 0 1 5.948 0 0.0739539532396304 6.75862916330350
1 1 0 1 5.948 -0.00950338147882369 -0.00950338147882369 6.75862916330350
1 0 1 0 5.948 -1.97863351942267e-6 0 6.75862916330350
1 -1 1 2 5.948 -0.0167270941104318 0.163256594335076 6.75862916330350
1 0 1 2 5.948 -0.130169828722906 -1.37e-17 6.75862916330350
1 1 1 2 5.948 0.0167270941104318 0.163256594335076 6.75862916330350
1 -1 1 0 5.948 0 0.179983688445508 6.75862916330350
1 1 1 0 5.948 0 0.179983688445508 6.75862916330350
1 -1 0 1 1.742 -0.0259046862762550 0.0259046862762550 1.97941022233939
1 0 0 1 1.742 0 0.201586557566937 1.97941022233939
1 1 0 1 1.742 -0.0259046862762550 -0.0259046862762550 1.97941022233939
1 0 1 0 1.742 -5.39343608278164e-6 0 1.97941022233939
1 -1 1 2 1.742 -0.0455953626832375 0.445011164521141 1.97941022233939
1 0 1 2 1.742 -0.354821973969427 -3.739e-17 1.97941022233939
1 1 1 2 1.742 0.0455953626832375 0.445011164521141 1.97941022233939
1 -1 1 0 1.742 0 0.490606527204378 1.97941022233939
1 1 1 0 1.742 0 0.490606527204378 1.97941022233939
1 -1 0 1 0.555 -0.0121105145501474 0.0121105145501474 0.630638733294123
1 0 0 1 0.555 0 0.0942422893098810 0.630638733294123
1 1 0 1 0.555 -0.0121105145501474 -0.0121105145501474 0.630638733294123
1 0 1 0 0.555 2.92070905603678e-5 0 0.630638733294123
1 -1 1 2 0.555 -0.0213159618034342 0.207920532299411 0.630638733294123
1 0 1 2 0.555 -0.165848553997069 -1.747e-17 0.630638733294123
1 1 1 2 0.555 0.0213159618034342 0.207920532299411 0.630638733294123
1 -1 1 0 0.555 0 0.229236494102845 0.630638733294123
1 1 1 0 0.555 0 0.229236494102845 0.630638733294123
1 -1 0 1 0.1725 -0.00174224412748843 0.00174224412748843 0.196009336023849
1 0 0 1 0.1725 0 0.0135578942109612 0.196009336023849
1 1 0 1 0.1725 -0.00174224412748843 -0.00174224412748843 0.196009336023849
1 0 1 0 0.1725 3.46631003245625e-5 0 0.196009336023849
1 -1 1 2 0.1725 -0.00306655915568417 0.0297933628869598 0.196009336023849
1 0 1 2 0.1725 -0.0238288609422879 -2.504e-18 0.196009336023849
1 1 1 2 0.1725 0.00306655915568417 0.0297933628869598 0.196009336023849
1 -1 1 0 0.1725 0 0.0328599220426439 0.196009336023849
1 1 1 0 0.1725 0 0.0328599220426439 0.196009336023849
1 -1 0 1 1.654 0.00230014895448336 -0.00230014895448336 1.87941705381708
1 0 0 1 1.654 -1.886e-18 -0.0178994296507081 1.87941705381708
1 1 0 1 1.654 0.00230014895448336 0.00230014895448336 1.87941705381708
1 -1 1 0 1.654 -2.24605128108991e-7 -0.0435567138650313 1.87941705381708
1 0 1 0 1.654 -0.0111962903597443 0 1.87941705381708
1 -1 1 2 1.654 0.00809685286469410 -0.0354596363952091 1.87941705381708
1 0 1 2 1.654 0.0518140065451229 3.32e-18 1.87941705381708
1 1 1 2 1.654 -0.00809685286469410 -0.0354596363952091 1.87941705381708
1 -1 2 1 1.654 0.0459990322550986 -2.37199219494852e-7 1.87941705381708
1 0 2 1 1.654 0 -0.0118240903799861 1.87941705381708
1 -1 2 3 1.654 0.0388731172763632 0.00712567777951593 1.87941705381708
1 0 2 3 1.654 -2.88e-18 0.0436287591453400 1.87941705381708
1 1 2 3 1.654 0.0388731172763632 -0.00712567777951593 1.87941705381708
1 1 1 0 1.654 2.24605128108991e-7 -0.0435567138650313 1.87941705381708
1 1 2 1 1.654 0.0459990322550986 2.37199219494852e-7 1.87941705381708
1 -1 0 1 0.469 0.000412006440023953 -0.000412006440023953 0.532918136783682
1 0 0 1 0.469 -3.378e-19 -0.00320617509334472 0.532918136783682
1 1 0 1 0.469 0.000412006440023953 0.000412006440023953 0.532918136783682
1 -1 1 0 0.469 1.99533670811402e-6 -0.00780177765596875 0.532918136783682
1 0 1 0 0.469 -0.00200606522169394 0 0.532918136783682
1 1 1 0 0.469 -1.99533670811402e-6 -0.00780177765596875 0.532918136783682
1 -1 1 2 0.469 0.00145235708673179 -0.00635141590594508 0.532918136783682
1 0 1 2 0.469 0.00928044214211186 5.947e-19 0.532918136783682
