r l m Re(R) Im(R)
0.1 8 8 0.0856477591142973 0.0308566985502687
0.1 9 -9 0.0809488061115915 -0.0331763767304974
0.1 9 -7 0.0488343439783905 -0.0152792809550516
0.1 9 -5 0.0327224625528661 -0.00721706830493655
0.1 9 -3 0.0191825949844240 -0.00251841082608096
0.1 9 -1 0.00554331468570685 0.000317505328429335
0.1 9 1 -0.00554331468570689 0.000317505328429390
0.1 9 3 -0.0191825949844239 -0.00251841082608093
0.1 9 5 -0.0327224625528661 -0.00721706830493655
0.1 9 7 -0.0488343439783904 -0.0152792809550516
0.1 9 9 -0.0809488061115915 -0.0331763767304973
0.1 10 -10 0.0763146342628772 -0.0351946864254181
0.1 10 -8 0.0476180792997077 -0.0171898887161069
0.1 10 -6 0.0336476370879032 -0.00896398997962411
0.1 10 -4 0.0220022247587430 -0.00386573035655241
0.1 10 -2 0.0107269429385747 -0.000937294808269751
0.1 10 0 0.157932474181074 0
0.1 10 2 0.0107269429385748 0.000937294808269748
0.1 10 4 0.0220022247587430 0.00386573035655241
0.1 10 6 0.0336476370879031 0.00896398997962414
0.1 10 8 0.0476180792997077 0.0171898887161069
0.1 10 10 0.0763146342628772 0.0351946864254180
0.1 11 -11 0.0717324501518608 -0.0369116280846687
0.1 11 -9 0.0460717834331499 -0.0189178369270249
0.1 11 -7 0.0339407710241773 -0.0106339636555293
0.1 11 -5 0.0238814454064614 -0.00527200016507881
0.1 11 -3 0.0142464577015898 -0.00187128843096059
0.1 11 -1 0.00372165147074124 0.000551339569429321
0.1 11 1 -0.00372165147074121 0.000551339569429155
0.1 11 3 -0.0142464577015899 -0.00187128843096062
0.1 11 5 -0.0238814454064614 -0.00527200016507883
0.1 11 7 -0.0339407710241773 -0.0106339636555293
0.1 11 9 -0.0460717834331499 -0.0189178369270249
0.1 11 11 -0.0717324501518608 -0.0369116280846687
0.1 12 -12 0.0671975108654019 -0.0383269236874121
0.1 12 -10 0.0442768316125891 -0.0204562750514433
0.1 12 -8 0.0337572957574417 -0.0122025375567198
0.1 12 -6 0.0250684269004123 -0.00668472655236054
0.1 12 -4 0.0167276040927994 -0.00294071689452374
0.1 12 -2 0.00807236949408252 -0.000705608268841765
0.1 12 0 0.158940711221308 0
0.1 12 2 0.00807236949408253 0.000705608268841702
0.1 12 4 0.0167276040927994 0.00294071689452375
0.1 12 6 0.0250684269004123 0.00668472655236054
0.1 12 8 0.0337572957574417 0.0122025375567198
0.1 12 10 0.0442768316125890 0.0204562750514433
0.1 12 12 0.0671975108654018 0.0383269236874121
0.2 0 0 -9.48644111220514 0
0.2 1 -1 0.108146044860593 -1.75052169702488
0.2 1 1 -0.108146044860593 -1.75052169702488
0.2 2 -2 0.441781273279325 -0.00656026786009596
0.2 2 0 0.368303343663172 0
0.2 2 2 0.441781273279325 0.00656026786009598
0.2 3 -3 0.104670811554417 0.0542298023623755
0.2 3 -1 0.0274855072738612 0.0500175428828974
0.2 3 1 -0.0274855072738612 0.0500175428828974
0.2 3 3 -0.104670811554417 0.0542298023623755
0.2 4 -4 0.0866579501864994 -0.0176721761595177
0.2 4 -2 0.0286784911175727 -0.00347647399597032
0.2 4 0 0.105187747540852 0
0.2 4 2 0.0286784911175727 0.00347647399597028
0.2 4 4 0.0866579501864994 0.0176721761595177
0.2 5 -5 0.0957202685094221 -0.0238608584746805
0.2 5 -3 0.0442144725560498 -0.00802464046978135
0.2 5 -1 0.0135662790837740 -0.00216287839223622
0.2 5 1 -0.0135662790837740 -0.00216287839223608
0.2 5 3 -0.0442144725560498 -0.00802464046978136
0.2 5 5 -0.0957202685094221 -0.0238608584746804
0.2 6 -6 0.0915943642158612 -0.0238970998971752
0.2 6 -4 0.0470729145739874 -0.00810751311797530
0.2 6 -2 0.0222110680110588 -0.00188997475701293
0.2 6 0 0.133919477243757 0
0.2 6 2 0.0222110680110588 0.00188997475701295
0.2 6 4 0.0470729145739874 0.00810751311797529
0.2 6 6 0.0915943642158612 0.0238970998971752
0.2 7 -7 0.0862670831876178 -0.0265266191221924
0.2 7 -5 0.0473960491687861 -0.0102533721551402
0.2 7 -3 0.0265694772158207 -0.00336370022378609
0.2 7 -1 0.00812585316163043 0.000513207233241886
0.2 7 1 -0.00812585316163043 0.000513207233241997
0.2 7 3 -0.0265694772158207 -0.00336370022378610
0.2 7 5 -0.0473960491687861 -0.0102533721551402
